UserID,DeviceID,ConnectDate
1,1,2021-07-02
1,1,2021-07-03
1,1,2021-07-04
1,1,2021-07-05
1,1,2021-07-06
34,2,2021-12-08
34,2,2021-12-09
34,2,2021-12-10
34,2,2021-12-11
34,2,2022-12-12
34,2,2022-12-13
34,2,2021-12-30
34,2,2021-12-31
34,2,2022-01-01
34,2,2022-01-02
34,2,2022-01-03
34,2,2022-01-04
35,3,2023-02-01
43,4,2023-03-01
43,5,2023-03-02
43,6,2023-03-03
43,4,2023-03-04
43,5,2023-03-05
43,6,2023-03-06
43,4,2023-03-07
45,7,2023-03-08
45,8,2023-03-09
45,7,2023-03-10
63,9,2023-03-15
63,9,2023-03-16
63,9,2023-03-17
63,10,2023-03-18
63,10,2023-03-19
63,10,2023-03-20
63,10,2023-03-21
63,9,2023-03-22
63,9,2023-03-23
72,11,2023-05-05
77,12,2023-05-06
77,12,2023-05-07
77,12,2023-05-08
77,12,2023-05-09
98,13,2023-10-01
134,14,2024-01-01
134,14,2024-01-02
134,14,2024-01-03
134,14,2024-01-04
134,14,2024-01-05
134,14,2024-01-06
134,14,2024-01-07
134,14,2024-01-08
134,14,2024-01-09
134,14,2024-01-10
134,14,2024-01-11
134,14,2024-01-12
134,14,2024-01-13
134,14,2024-01-14
134,14,2024-01-15
134,14,2024-01-16
