PlaylistID,DeviceID,PlayDate
1,1,2021-07-02
1,1,2021-07-03
1,1,2021-07-04
1,1,2021-07-05
1,1,2021-07-06
1,2,2021-12-08
1,2,2021-12-09
1,4,2023-03-01
1,4,2023-03-04
1,4,2023-03-07
1,5,2023-03-05
1,8,2023-03-09
1,10,2023-03-18
1,10,2023-03-19
1,10,2023-03-20
1,10,2023-03-21
22,4,2023-03-01
22,5,2023-03-02
22,6,2023-03-03
22,4,2023-03-04
22,5,2023-03-05
22,6,2023-03-06
22,4,2023-03-07
22,12,2023-05-06
22,12,2023-05-07
22,12,2023-05-08
22,12,2023-05-09
33,2,2021-12-08
33,2,2021-12-09
33,2,2021-12-10
33,2,2021-12-11
33,2,2022-12-12
33,2,2022-12-13
33,9,2023-03-15
33,9,2023-03-16
33,9,2023-03-17
33,10,2023-03-18
33,10,2023-03-19
33,10,2023-03-20
33,10,2023-03-21
33,9,2023-03-22
33,9,2023-03-23
33,14,2024-01-01
33,14,2024-01-02
33,14,2024-01-03
33,14,2024-01-04
33,14,2024-01-05
33,14,2024-01-06
33,14,2024-01-07
33,14,2024-01-08
33,14,2024-01-09
33,14,2024-01-10
33,14,2024-01-11
43,3,2023-02-01
53,2,2021-12-30
53,2,2021-12-31
53,2,2022-01-01
53,2,2022-01-02
53,2,2022-01-03
53,2,2022-01-04
53,9,2023-03-15
53,9,2023-03-16
53,9,2023-03-17
53,10,2023-03-18
53,10,2023-03-19
53,10,2023-03-20
53,10,2023-03-21
53,9,2023-03-22
53,9,2023-03-25
53,14,2024-01-01
53,14,2024-01-02
53,14,2024-01-03
53,14,2024-01-04
53,14,2024-01-05
53,14,2024-01-06
53,14,2024-01-07
53,14,2024-01-08
53,14,2024-01-09
53,14,2024-01-10
53,14,2024-01-11
53,11,2023-05-05
53,7,2023-03-08
53,8,2023-03-09
57,13,2023-10-01
