SongId,Title,Genre,Duration,UEPlays,UEDownloads
111,Snow Angel,Pop,215,2345,1387
123,Moon Girl,Pop,217,409,354
198,Shake It,Emo,183,9923,3872
262,Shape Of You,Pop,264,15803,5438
345,Cruel Summer,Pop,180,13078,9876
353,Gives You Hell,Emo,214,1034,725
373,Forest,Rock,256,3026,533
374,I Bet You Think About Me,Country,289,8564,7221
423,Fearless,Country,246,7652,567
494,Rolling In The Deep,Pop,216,14492,836
576,Would've Could've Should've,,264,8921,5678
655,August,Indie Folk,262,9021,7732
812,Exile,Indie Folk,286,9987,5792
845,All Too Well ,Country,613,12864,10023
928,I Write Sins Not Tragedies,Emo,183,8439,4012
998,Sugar We're Going Down,Emo,230,12763,9327
